,IC Mean,IC Std.,Risk-Adjusted IC,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis,AlphaName
1D,-0.040736075117745144,0.1489172357719946,-0.27354842377087674,-8.114757626067918,1.6336269561594788e-15,0.05190709545271266,-0.27582962582146076,alpha150
1D,-0.009970551463291986,0.1341558950514815,-0.07432063614845882,-2.1795088858410243,0.02956485874118737,0.01278965031928242,-0.0823800331594402,alpha151
1D,-0.002007785034380467,0.17312576378264682,-0.011597263113889675,-0.3369199547406941,0.7362611022812059,0.11581728960270579,0.46501533453755606,alpha152
1D,0.01785840348831944,0.15513271609706844,0.11511693946714126,3.3699980204304585,0.0007853130869828554,0.04022110391171781,-0.29779796002454306,alpha153
1D,-0.006608833438699212,0.13854432573800377,-0.04770194234585212,-1.4142640460095826,0.15763888886207514,-0.05099813478381437,-0.05881675638372519,alpha155
1D,0.0061630416092664135,0.16621562169262066,0.03707859433732172,1.095545409356292,0.2735802484403214,-0.11565513835918209,-0.08298619532898899,alpha156
1D,0.009733669120404218,0.1318761304703176,0.07380918052183107,2.175806509633932,0.0298388432797597,-0.025690272595732415,0.16174331650947105,alpha157
1D,-0.06625845165703449,0.2450887684796104,-0.27034470844202196,-8.019720070968164,3.371211530470099e-15,0.1859846892591116,-0.32322241833631216,alpha158
1D,-0.07503482782774773,0.28361127279182646,-0.2645692714859894,-7.740629554430362,2.789714752748983e-14,0.21127564477344435,-0.45050802867027073,alpha159
1D,0.019182860181167643,0.14090331952957272,0.13614200322045325,3.994787776615409,7.029480762265455e-05,0.0343077611121214,-0.033395241856023716,alpha160
1D,0.010326135845035793,0.14559317378259884,0.07092458785502459,2.089568839968579,0.03694749721798058,-0.011493388964253434,-0.243558497859254,alpha161
1D,-0.03226563166575741,0.15182947078743195,-0.21251231067603957,,,,,alpha162
1D,0.027205641266034652,0.14296987855160817,0.1902893220701322,5.583621805500168,3.159080055246171e-08,0.045539106102934795,0.059708228522524553,alpha163
1D,-0.011508893585646359,0.14382687501819402,-0.0800190756017642,-2.358866801640101,0.018551552570125078,0.05666673413099981,-0.14324742912622357,alpha164
1D,-0.013114366056060534,0.14245960059300802,-0.09205673749940439,-2.5808742965051428,0.010035462305435358,0.0003705149651091717,-0.22864973820775525,alpha165
1D,0.03716836619410834,0.18202300615715733,0.20419598038072972,5.921683431041163,4.642531337712501e-09,0.02513003704122744,0.17836259715075498,alpha166
1D,0.008165894040256434,0.14622927565435745,0.055843086165305096,1.6461875004909634,0.10008715857378715,0.011029034583322427,-0.26554411026603386,alpha167
1D,0.024947942169105907,0.1399601878316229,0.17825027642231497,5.230362478779834,2.1260434518813795e-07,0.11805010798260007,0.12808591986958318,alpha168
1D,-0.0015109086899653932,0.13345175438871248,-0.011321759664279002,-0.33066516650083955,0.7409787148368796,0.02091377939807927,-0.35487429311967267,alpha169
1D,-0.004629716400958826,0.13403188221727028,-0.03454190394382358,-1.0135562309331403,0.311079617307479,-0.015763998779015066,-0.1193206773953186,alpha170
1D,-0.001163722242349725,0.15758482235955676,-0.007384735566059106,-0.21906665893043628,0.8266489779824271,0.08442301183238062,-0.07936359702940354,alpha171
1D,-0.004250037780910081,0.14315105819852272,-0.02968918172449766,-0.8711637661059379,0.3839078586071639,-0.07637917206774249,0.3949432199901546,alpha172
1D,0.016418704422904166,0.1557895398553763,0.1053902876800721,3.1263811681901066,0.0018279071067063152,0.05227750200735318,-0.30236810832538996,alpha173
1D,0.017806685919966418,0.14291891923232966,0.12459292314560388,3.653781737905411,0.0002740752781886959,0.05751792376740577,-0.08292934348420822,alpha174
1D,0.008841484950790622,0.14620603486209002,0.060472777058282315,1.7877864001980166,0.07415723687005309,-0.02826043531629021,-0.25542612715339663,alpha175
1D,-0.024969669902864828,0.11295016927142416,-0.22106801666548748,-6.498046071354388,1.373980480145558e-10,-0.11785526141123813,0.23328484587535492,alpha176
1D,-0.031613810404762535,0.1691034007263301,-0.18694958391715025,-5.542668955354751,3.939951036212628e-08,0.06505175982002404,0.03401535624787755,alpha178
1D,-0.018263466886913084,0.11801184064338834,-0.15475961384334447,-4.562128624760796,5.79244973046378e-06,-0.1338687483922939,0.040863603508439095,alpha179
1D,-0.013795313210587514,0.1443175520337736,-0.09558998899426381,-2.7605488513337693,0.005897250203159846,0.03727838132654599,-0.1445002504655748,alpha183
1D,0.009621131015640544,0.14241009693144122,0.06755933197821169,1.7630267532655448,0.07834509743006837,0.13069810508927174,-0.10284781135388243,alpha184
1D,0.0336234021809552,0.1825933595579842,0.18414361980276603,5.46258253835837,6.111095831407746e-08,-0.17902768535525776,0.1167039319552674,alpha185
1D,-0.0047304167497216245,0.14360407787118815,-0.0329406853889259,-0.9631982581887428,0.3357206896007917,0.04892152951407276,0.3088206252714518,alpha186
1D,0.00968952442154026,0.1462045483898641,0.06627375501138653,1.9435280082483968,0.05227868558388722,-0.011514448398565217,-0.26067717186041595,alpha187
1D,-0.02051485987004959,0.14429369023535427,-0.14217433788399378,-4.2151754089324704,2.7542445941875554e-05,-0.08192267220521961,0.08415111763147909,alpha188
1D,0.009874580651684835,0.14592719532986156,0.06766785745017445,1.9959150459752806,0.04625487246711385,-0.0533668527272877,-0.27151430660724474,alpha189
1D,-0.0034657313816345444,0.13806264343243999,-0.025102600496929327,-0.7429691267452434,0.4576997932570115,-0.07167277272673962,0.17322241283177497,alpha191
